callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
WJA647,C-GQWJ,MU,China Eastern,,YYC,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,B22,A11,55.0,55.0,53.755608,2,161.266824,7.091231940054777
WJA647,C-GQWJ,DL,Delta Air Lines,,YYC,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,B22,A11,55.0,55.0,55.91643,1,111.83286,4.9175194817482994
WJA647,C-GQWJ,KE,Korean Air,,YYC,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,B22,A11,55.0,0.0,46.021282,0,46.021282,2.0236498539877488
ROU1879,C-GSJB,AC,Air Canada,UVF,,2025-12-19 21:15:00+00:00,2025-12-20 03:00:00+00:00,,191,0.0,0.0,4.8348413,0,4.8348413,0.21259785615704788
TSC327,C-GTSR,TS,Air Transat,CUN,,2025-12-19 16:55:00+00:00,2025-12-19 20:50:00+00:00,,B15A,0.0,0.0,2.1591027,0,2.1591027,0.09494015972000854
ACA417,C-GTZH,LH,Lufthansa,YUL,,2025-12-19 20:10:00+00:00,2025-12-19 21:40:00+00:00,A48,D51,116.0,116.0,114.85151,3,459.40604,20.20102277392207
ACA417,C-GTZH,OS,Austrian,YUL,,2025-12-19 20:10:00+00:00,2025-12-19 21:40:00+00:00,A48,D51,116.0,116.0,116.864105,2,350.592315,15.416260830347507
ACA417,C-GTZH,AC,Air Canada,YUL,,2025-12-19 20:10:00+00:00,2025-12-19 21:40:00+00:00,A48,D51,116.0,116.0,115.56204,1,231.12408,10.16299830033098
ACA417,C-GTZH,SN,Brussels,YUL,,2025-12-19 20:10:00+00:00,2025-12-19 21:40:00+00:00,A48,D51,116.0,0.0,107.71905,0,107.71905,4.7366268459057475
TSC517,C-GUBA,TS,Air Transat,MBJ,,2025-12-19 17:35:00+00:00,2025-12-19 21:45:00+00:00,,C32,18.0,18.0,15.9895525,1,31.979105,1.4061866239169278
TSC517,C-GUBA,F8,Flair,MBJ,,2025-12-19 17:35:00+00:00,2025-12-19 21:45:00+00:00,,C32,18.0,0.0,19.08108,0,19.08108,0.8390340963541292
TSC986,C-GUBT,TS,Air Transat,,PUJ,2025-12-19 22:10:00+00:00,2025-12-20 02:30:00+00:00,C30,,0.0,0.0,0.0,0,0.0,0.0
TSC741,C-GUFZ,TS,Air Transat,POP,,2025-12-19 17:50:00+00:00,2025-12-19 22:15:00+00:00,,C33,0.0,0.0,2.187867,0,2.187867,0.09620498479583017
ACA1299,C-GUPK,AC,Air Canada,,MSY,2025-12-19 20:05:00+00:00,2025-12-19 23:17:00+00:00,F63,,57.0,0.0,23.203918,3,92.815672,4.081294847252947
ACA1299,C-GUPK,UA,United,,MSY,2025-12-19 20:05:00+00:00,2025-12-19 23:17:00+00:00,F63,,57.0,57.0,54.66787,2,164.00361,7.211574015473182
ACA1298,C-GUPK,UA,United,MSY,,2025-12-20 00:05:00+00:00,2025-12-20 02:52:00+00:00,,F36,0.0,0.0,76.12025,1,152.2405,6.694326020644575
ACA1298,C-GUPK,AC,Air Canada,MSY,,2025-12-20 00:05:00+00:00,2025-12-20 02:52:00+00:00,,F36,0.0,57.0,61.89112,0,61.89112,2.7214790746406896
WJA2415,C-GUUL,WS,WestJet,HUX,,2025-12-19 20:55:00+00:00,2025-12-20 01:58:00+00:00,,B18,0.0,0.0,0.0,0,0.0,0.0
ACA1094,C-GVDP,AC,Air Canada,SAN,,2025-12-19 20:40:00+00:00,2025-12-20 01:30:00+00:00,,F53,45.0,0.0,36.00139,1,72.00278,3.1661094367973495
ACA1094,C-GVDP,UA,United,SAN,,2025-12-19 20:40:00+00:00,2025-12-20 01:30:00+00:00,,F53,45.0,45.0,46.98606,0,46.98606,2.06607311500926
ACA1359,C-GVUH,AC,Air Canada,,MTY,2025-12-19 21:45:00+00:00,2025-12-20 02:30:00+00:00,E72,,0.0,0.0,12.233218,0,12.233218,0.5379196046624756
ACA1292,C-GVUO,AC,Air Canada,,RSW,2025-12-19 19:10:00+00:00,2025-12-19 22:27:00+00:00,F32,,0.0,0.0,52.66588,1,105.33176,4.631652824105869
ACA1293,C-GVUO,AC,Air Canada,RSW,,2025-12-19 23:20:00+00:00,2025-12-20 02:25:00+00:00,,F97,0.0,0.0,1.450588,0,1.450588,0.06378531989605114
WJA718,C-GWBF,WS,WestJet,YVR,,2025-12-20 01:00:00+00:00,2025-12-20 05:38:00+00:00,B14,B24,0.0,0.0,282.72095,0,282.72095,12.431818157233812
WJA1115,C-GWBJ,DL,Delta Air Lines,FLL,,2025-12-19 23:55:00+00:00,2025-12-20 03:12:00+00:00,,A13,0.0,0.0,20.719294,1,41.438588,1.822139430093635
WJA1115,C-GWBJ,WS,WestJet,FLL,,2025-12-19 23:55:00+00:00,2025-12-20 03:12:00+00:00,,A13,0.0,0.0,2.5861444,0,2.5861444,0.11371805629950148
WJA2568,C-GWBX,KL,KLM,,MBJ,2025-12-19 20:00:00+00:00,2025-12-20 00:23:00+00:00,B25,,77.0,77.0,76.37282,1,152.74564,6.716538059136754
WJA2568,C-GWBX,WS,WestJet,,MBJ,2025-12-19 20:00:00+00:00,2025-12-20 00:23:00+00:00,B25,,77.0,0.0,64.82897,0,64.82897,2.850662345187953
ACA693,C-GWUS,AC,Air Canada,YYT,,2025-12-19 17:00:00+00:00,2025-12-19 20:51:00+00:00,,D26,8.0,8.0,7.494214,2,22.482642000000002,0.9886077315394827
ACA693,C-GWUS,LH,Lufthansa,YYT,,2025-12-19 17:00:00+00:00,2025-12-19 20:51:00+00:00,,D26,8.0,8.0,8.675664,1,17.351328,0.7629733646640598
ACA693,C-GWUS,UA,United,YYT,,2025-12-19 17:00:00+00:00,2025-12-19 20:51:00+00:00,,D26,8.0,0.0,5.1573257,0,5.1573257,0.22677815450191638
WJA2103,C-GWWJ,WS,WestJet,PUJ,,2025-12-19 20:30:00+00:00,2025-12-20 01:20:00+00:00,,B40,0.0,0.0,2.0090544,0,2.0090544,0.08834222921502803
WJA2027,C-GXRW,WS,WestJet,TQO,,,2025-12-19 23:53:00+00:00,,B24,2.0,0.0,0.0,0,0.0,0.0
ACA144,C-GYFM,LO,LOT - Polish,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,63.0,63.002304,5,378.013824,16.622040640739876
ACA144,C-GYFM,OS,Austrian,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,63.0,63.388996,4,316.94498,13.936718722854133
ACA144,C-GYFM,LH,Lufthansa,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,63.0,63.27597,3,253.10388,11.129495041136243
ACA144,C-GYFM,LX,SWISS,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,0.0,60.021812,2,180.06543599999998,7.917845340980294
ACA144,C-GYFM,AC,Air Canada,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,63.0,62.572624,1,125.145248,5.502892397531658
ACA144,C-GYFM,TP,TAP Air Portugal,YYC,,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,C54,D22,63.0,63.0,62.995354,0,62.995354,2.7700345010816196
