number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
SN 9562,ACA418,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:39Z,2025-12-19 16:39-05:00,1,D35,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 22:25Z,2025-12-19 17:25-05:00,2025-12-19 23:11Z,2025-12-19 18:11-05:00,"['Basic', 'Live']",C-FSNQ,C030EB,Boeing 737,Brussels,SN,BEL,,,7,,,,,,,,,
OS 8253,ACA418,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:39Z,2025-12-19 16:39-05:00,1,D35,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 22:25Z,2025-12-19 17:25-05:00,2025-12-19 23:11Z,2025-12-19 18:11-05:00,"['Basic', 'Live']",C-FSNQ,C030EB,Boeing 737,Austrian,OS,AUA,,,7,,,,,,,,,
AV 6906,ACA418,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:39Z,2025-12-19 16:39-05:00,1,D35,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 22:25Z,2025-12-19 17:25-05:00,2025-12-19 23:11Z,2025-12-19 18:11-05:00,"['Basic', 'Live']",C-FSNQ,C030EB,Boeing 737,Avianca,AV,AVA,,,7,,,,,,,,,
PD 6010,,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:40Z,2025-12-19 16:40-05:00,3,A16,"['Basic', 'Live']",KORD,ORD,Chicago,America/Chicago,2025-12-19 23:40Z,2025-12-19 17:40-06:00,,,['Basic'],,,Embraer 170,Porter,PD,POE,3,,,,,,,,,,,
AS 6658,,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:40Z,2025-12-19 16:40-05:00,3,A16,"['Basic', 'Live']",KORD,ORD,Chicago,America/Chicago,2025-12-19 23:40Z,2025-12-19 17:40-06:00,,,['Basic'],,,Embraer 170,Alaska,AS,ASA,3,,,,,,,,,,,
AA 3608,,Departed,IsOperator,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:40Z,2025-12-19 16:40-05:00,3,A16,"['Basic', 'Live']",KORD,ORD,Chicago,America/Chicago,2025-12-19 23:40Z,2025-12-19 17:40-06:00,,,['Basic'],,,Embraer 170,American,AA,AAL,3,,,,,,,,,,,
QF 3337,,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:40Z,2025-12-19 16:40-05:00,3,A16,"['Basic', 'Live']",KORD,ORD,Chicago,America/Chicago,2025-12-19 23:40Z,2025-12-19 17:40-06:00,,,['Basic'],,,Embraer 170,Qantas,QF,QFA,3,,,,,,,,,,,
BA 5763,,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:40Z,2025-12-19 16:40-05:00,3,A16,"['Basic', 'Live']",KORD,ORD,Chicago,America/Chicago,2025-12-19 23:40Z,2025-12-19 17:40-06:00,,,['Basic'],,,Embraer 170,British,BA,BAW,3,,,,,,,,,,,
AV 6908,ACA117,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:51Z,2025-12-19 16:51-05:00,1,D36,"['Basic', 'Live']",CYVR,YVR,Vancouver,America/Vancouver,2025-12-20 02:57Z,2025-12-19 18:57-08:00,2025-12-20 02:57Z,2025-12-19 18:57-08:00,"['Basic', 'Live']",C-FGKZ,C010F6,Airbus A321,Avianca,AV,AVA,M,5,C46,,,,,,,,,
VA 5205,ACA117,Departed,IsCodeshared,False,departures,2025-12-19 21:40Z,2025-12-19 16:40-05:00,2025-12-19 21:51Z,2025-12-19 16:51-05:00,1,D36,"['Basic', 'Live']",CYVR,YVR,Vancouver,America/Vancouver,2025-12-20 02:57Z,2025-12-19 18:57-08:00,2025-12-20 02:57Z,2025-12-19 18:57-08:00,"['Basic', 'Live']",C-FGKZ,C010F6,Airbus A321,Virgin Australia,VA,VOZ,M,5,C46,,,,,,,,,
